"State","County","Metro/Small Town/Rural Status","Percent with SNAP","Percent Margin of Error (±)"
"Iowa","Pottawattamie County","Metro area","0.1389040350914","0.0101494807749987"
"Ohio","Pickaway County","Metro area","0.138893231749535","0.0161441843956709"
"Nevada","Lyon County","Small town","0.138874709606171","0.0180259998887777"
"Iowa","Monroe County","Rural area","0.138847410678864","0.0410237237811089"
"Missouri","Lafayette County","Metro area","0.138786554336548","0.0224691834300756"
"Texas","Harrison County","Small town","0.138755172491074","0.0154987797141075"
"Michigan","Otsego County","Rural area","0.138648182153702","0.0202909596264362"
"Georgia","Dade County","Metro area","0.138517424464226","0.0256849993020296"
"Missouri","Dade County","Rural area","0.138431757688522","0.025854604318738"
"Tennessee","Humphreys County","Rural area","0.138408303260803","0.0268215741962194"
"Kentucky","Hardin County","Metro area","0.138389989733696","0.0116933612152934"
"Idaho","Power County","Rural area","0.138336718082428","0.0503307469189167"
"Texas","Wichita County","Metro area","0.138331785798073","0.0103720035403967"
"North Carolina","Brunswick County","Metro area","0.138325229287148","0.0122318379580975"
"Kentucky","Mercer County","Rural area","0.13831838965416","0.0197482369840145"
"Wisconsin","Crawford County","Rural area","0.138304263353348","0.0148326316848397"
"Missouri","Warren County","Metro area","0.138289779424667","0.0250636972486973"
"Pennsylvania","Lycoming County","Metro area","0.138241171836853","0.011123375967145"
"Pennsylvania","Berks County","Metro area","0.138234585523605","0.00588018074631691"
"West Virginia","Tucker County","Rural area","0.138166889548302","0.0234191119670868"
"Mississippi","Lincoln County","Small town","0.137987017631531","0.0230521187186241"
"Idaho","Bingham County","Small town","0.137982591986656","0.0206830836832523"
"South Dakota","Roberts County","Rural area","0.137958958745003","0.0172096211463213"
"New York","Schenectady County","Metro area","0.137932285666466","0.00903801340609789"
"Michigan","Lenawee County","Small town","0.137890949845314","0.00985981058329344"
"Kentucky","Livingston County","Small town","0.137886598706245","0.0338372141122818"
"Minnesota","Beltrami County","Small town","0.137820884585381","0.014004728756845"
"Alabama","Colbert County","Metro area","0.137706398963928","0.0136760119348764"
"Idaho","Jerome County","Small town","0.137701064348221","0.0212293062359095"
"Iowa","Floyd County","Rural area","0.137570738792419","0.022276459261775"
"Alabama","Limestone County","Metro area","0.137498825788498","0.0140825267881155"
"Illinois","Wayne County","Rural area","0.137416511774063","0.025692405179143"
"Kansas","Woodson County","Rural area","0.137409597635269","0.0269213896244764"
"Texas","Hopkins County","Small town","0.137340679764748","0.0205204263329506"
"Ohio","Preble County","Rural area","0.137337982654572","0.0163941998034716"
"New York","New York County","Metro area","0.137318894267082","0.00349500728771091"
"Ohio","Belmont County","Metro area","0.137134000658989","0.0122659131884575"
"Illinois","Jersey County","Metro area","0.137100458145142","0.0258564818650484"
"Wisconsin","Marquette County","Rural area","0.137010112404823","0.0154516715556383"
"Wisconsin","Marinette County","Small town","0.136996731162071","0.0119718350470066"
"Texas","Castro County","Rural area","0.136947795748711","0.0446354895830154"
"Missouri","Carroll County","Rural area","0.136916011571884","0.0282189957797527"
"Tennessee","Van Buren County","Rural area","0.136851936578751","0.0306206252425909"
"Texas","Dawson County","Small town","0.136752143502235","0.027679905295372"
"Maine","Knox County","Rural area","0.136739432811737","0.0148262223228812"
"South Dakota","Yankton County","Small town","0.136469289660454","0.0250445026904345"
"Alabama","Coffee County","Small town","0.136361286044121","0.0154258077964187"
"Arkansas","Garland County","Metro area","0.136346742510796","0.0127024278044701"
"Montana","Ravalli County","Rural area","0.136282235383987","0.0172427408397198"
"North Carolina","Pamlico County","Metro area","0.136209487915039","0.019952455535531"
"Delaware","Sussex County","Metro area","0.13602839410305","0.00777630275115371"
"Oklahoma","Murray County","Rural area","0.135882675647736","0.0270478166639805"
"Washington","Lincoln County","Rural area","0.135808154940605","0.0205897353589535"
"Illinois","LaSalle County","Small town","0.135796070098877","0.010379895567894"
"Ohio","Tuscarawas County","Small town","0.135746732354164","0.0100701879709959"
"Illinois","Rock Island County","Metro area","0.135695025324821","0.0085003450512886"
"North Carolina","Camden County","Small town","0.135646685957909","0.035067081451416"
"Texas","Red River County","Rural area","0.135580092668533","0.0277595520019531"
"Virginia","Suffolk city","Metro area","0.135565981268883","0.0117563456296921"
"Louisiana","St. James Parish","Metro area","0.135563373565674","0.0235339775681496"
"Florida","Leon County","Metro area","0.135513141751289","0.00750518310815096"
"Idaho","Bonneville County","Metro area","0.135413855314255","0.0118285426869988"
"Florida","Broward County","Metro area","0.135400637984276","0.00316508789546788"
"Texas","Wharton County","Small town","0.135389551520348","0.0173963494598866"
"West Virginia","Brooke County","Metro area","0.135292932391167","0.022060452029109"
"Idaho","Boundary County","Rural area","0.135215118527412","0.0359539948403835"
"Louisiana","Catahoula Parish","Rural area","0.135084420442581","0.0273427218198776"
"Georgia","White County","Rural area","0.135076254606247","0.0274335388094187"
"Missouri","Harrison County","Rural area","0.13496932387352","0.0265681240707636"
"Indiana","Jefferson County","Small town","0.134947001934052","0.0217758994549513"
"Pennsylvania","Somerset County","Small town","0.134863317012787","0.00892310217022896"
"Georgia","Glascock County","Rural area","0.13484163582325","0.0406104475259781"
"Missouri","Lincoln County","Metro area","0.134835734963417","0.0170261282473803"
"Montana","Missoula County","Metro area","0.134794980287552","0.0122256418690085"
"Maine","Lincoln County","Rural area","0.134678110480309","0.0164804048836231"
"Iowa","Franklin County","Rural area","0.134610831737518","0.0295785907655954"
"Louisiana","Beauregard Parish","Small town","0.134518533945084","0.0156200127676129"
"Michigan","Branch County","Small town","0.13450799882412","0.0137082012370229"
"Texas","Reeves County","Small town","0.134431451559067","0.0304343551397324"
"Texas","Coleman County","Rural area","0.134429112076759","0.0342895314097404"
"Kentucky","Daviess County","Metro area","0.134412705898285","0.0105837834998965"
"South Carolina","Lancaster County","Metro area","0.134291380643845","0.0150392865762115"
"Texas","Hutchinson County","Small town","0.134260430932045","0.0198994744569063"
"New York","Sullivan County","Rural area","0.134109333157539","0.0128537490963936"
"Michigan","Macomb County","Metro area","0.134048208594322","0.00396843999624252"
"Texas","Refugio County","Rural area","0.134009420871735","0.0310857892036438"
"Texas","Moore County","Small town","0.133933842182159","0.0274781826883554"
"Texas","Knox County","Rural area","0.133915573358536","0.0338898114860058"
"Georgia","Houston County","Metro area","0.133793458342552","0.0115233706310391"
"Iowa","Greene County","Rural area","0.133743271231651","0.0302424859255552"
"Minnesota","Ramsey County","Metro area","0.133725956082344","0.00457844138145447"
"Louisiana","Jefferson Parish","Metro area","0.133723810315132","0.00577144138514996"
"Missouri","Knox County","Rural area","0.133696302771568","0.0300956610590219"
"Virginia","Page County","Rural area","0.133676365017891","0.0194841660559177"
"Iowa","Marshall County","Small town","0.133590534329414","0.0141276195645332"
"New Mexico","Eddy County","Small town","0.133565738797188","0.0200955551117659"
"Texas","Bell County","Metro area","0.13355216383934","0.00586336990818381"
"Florida","Lake County","Metro area","0.133485198020935","0.00747016025707126"
"Pennsylvania","Lehigh County","Metro area","0.133411645889282","0.00508467853069305"
"South Carolina","Dorchester County","Metro area","0.133345916867256","0.0112899681553245"
"Idaho","Jefferson County","Metro area","0.133251532912254","0.0262442193925381"
"Kentucky","Scott County","Metro area","0.133241683244705","0.0145057747140527"
"Wisconsin","Wood County","Small town","0.133232966065407","0.0110703743994236"
"Iowa","Keokuk County","Rural area","0.133212506771088","0.0195302683860064"
"Oklahoma","Carter County","Small town","0.133196830749512","0.0107020922005177"
"Illinois","Whiteside County","Small town","0.133086636662483","0.0129346186295152"
"Indiana","Knox County","Small town","0.132992148399353","0.0216587837785482"
"Texas","Lubbock County","Metro area","0.132879003882408","0.00699515361338854"
"Colorado","Montrose County","Small town","0.132875144481659","0.018362095579505"
"Louisiana","Caldwell Parish","Rural area","0.132874831557274","0.0335614793002605"
"Virginia","Mecklenburg County","Rural area","0.132852643728256","0.0185612272471189"
"Virginia","Hampton city","Metro area","0.13275308907032","0.0104190334677696"
"New York","Schuyler County","Rural area","0.132727771997452","0.019570691511035"
"Pennsylvania","Beaver County","Metro area","0.132721215486526","0.00735529744997621"
"Washington","Thurston County","Metro area","0.132698029279709","0.00761316018179059"
"Iowa","Jasper County","Small town","0.132682323455811","0.0161385405808687"
"Missouri","Ste. Genevieve County","Rural area","0.132664442062378","0.0249238256365061"
"Kentucky","Carlisle County","Rural area","0.132662832736969","0.0255313366651535"
"Florida","St. Lucie County","Metro area","0.132633551955223","0.0102113336324692"
"Georgia","Fulton County","Metro area","0.132600888609886","0.00441693421453238"
"California","Siskiyou County","Rural area","0.132580727338791","0.0127429896965623"
"Illinois","Montgomery County","Rural area","0.132541865110397","0.0175509005784988"
"Nevada","Pershing County","Rural area","0.132440477609634","0.047745730727911"
"Tennessee","Montgomery County","Metro area","0.132389321923256","0.0100277606397867"
"Kansas","Bourbon County","Rural area","0.132373839616776","0.0219326987862587"
"Utah","Carbon County","Small town","0.132360532879829","0.0196153074502945"
"Illinois","Boone County","Metro area","0.132355332374573","0.0240718629211187"
"Illinois","Livingston County","Small town","0.132323578000069","0.0160702224820852"
"Tennessee","Overton County","Small town","0.132304921746254","0.0203337799757719"
"New Mexico","Lea County","Small town","0.132299691438675","0.0162302870303392"
"Indiana","Jennings County","Small town","0.132236897945404","0.0208990853279829"
"Texas","Harris County","Metro area","0.132201671600342","0.00213262159377337"
"Ohio","Logan County","Small town","0.132051289081573","0.0123261902481318"
"Illinois","Richland County","Rural area","0.13189709186554","0.0235800221562386"
"Indiana","St. Joseph County","Metro area","0.131854727864265","0.00621088640764356"
"Missouri","Nodaway County","Small town","0.131718844175339","0.0257059279829264"
"Pennsylvania","Warren County","Small town","0.131684809923172","0.0104571832343936"
"Michigan","Alger County","Rural area","0.131663262844086","0.0263769123703241"
"Pennsylvania","Potter County","Rural area","0.131662383675575","0.0135539043694735"
"Illinois","Adams County","Small town","0.13153450191021","0.0105066783726215"
"Illinois","Pope County","Rural area","0.131529256701469","0.0371899977326393"
"North Carolina","Clay County","Rural area","0.131375908851624","0.0358449667692184"
"Indiana","Vanderburgh County","Metro area","0.131363287568092","0.00724439509212971"
"Indiana","Starke County","Rural area","0.131316602230072","0.0175895020365715"
"New York","Niagara County","Metro area","0.131312906742096","0.00602417998015881"
"Indiana","Randolph County","Rural area","0.131260141730309","0.0193377342075109"
"Montana","Chouteau County","Rural area","0.131241708993912","0.0228830091655254"
"Oklahoma","Craig County","Rural area","0.131226763129234","0.0182430259883404"
"Oklahoma","Creek County","Metro area","0.131168141961098","0.00930588226765394"
"Utah","Sevier County","Rural area","0.131161347031593","0.0233554504811764"
"Maine","Hancock County","Rural area","0.131126835942268","0.011676374822855"
"Michigan","Houghton County","Small town","0.131110772490501","0.0128976218402386"
"Wisconsin","Dunn County","Small town","0.131103679537773","0.014838133007288"
"West Virginia","Pocahontas County","Rural area","0.131102576851845","0.0249560140073299"
"Georgia","Monroe County","Metro area","0.131087705492973","0.0222655218094587"
"Michigan","Cass County","Metro area","0.131087616086006","0.0133638055995107"
"Oregon","Benton County","Metro area","0.131079465150833","0.0118630807846785"
"Tennessee","Knox County","Metro area","0.131077110767365","0.00516979210078716"
"Kansas","Reno County","Small town","0.131053224205971","0.0130911199375987"
"Indiana","Henry County","Small town","0.131038710474968","0.0118365818634629"
"Iowa","Union County","Rural area","0.130992189049721","0.0235340800136328"
"Kentucky","Kenton County","Metro area","0.1309884339571","0.00811090879142284"
"Vermont","Windsor County","Small town","0.130913004279137","0.0127078052610159"
"Tennessee","Robertson County","Metro area","0.130853220820427","0.0127572026103735"
"Ohio","Morrow County","Metro area","0.130810722708702","0.019630553200841"
"New York","Madison County","Metro area","0.13077600300312","0.0105275670066476"
"Ohio","Defiance County","Small town","0.130771234631538","0.0174632892012596"
"Oklahoma","Lincoln County","Metro area","0.130681380629539","0.0100335814058781"
"Montana","Powell County","Rural area","0.130674585700035","0.0362654775381088"
"Arkansas","Yell County","Small town","0.130672723054886","0.0260659940540791"
"Georgia","Rabun County","Rural area","0.130638107657433","0.0221542585641146"
"Alabama","Jackson County","Small town","0.130609169602394","0.0131187960505486"
"Iowa","Black Hawk County","Metro area","0.130518421530724","0.00728265522047877"
"Virginia","Caroline County","Metro area","0.130506157875061","0.0173785835504532"
"South Carolina","Lexington County","Metro area","0.130469560623169","0.0059842118062079"
"Oklahoma","Garfield County","Metro area","0.130394890904427","0.0157344471663237"
"Iowa","Jefferson County","Small town","0.130365431308746","0.0299306679517031"
"Texas","Kimble County","Rural area","0.130250111222267","0.0329976044595242"
"Montana","Pondera County","Rural area","0.130240857601166","0.0323439761996269"
"North Carolina","Transylvania County","Small town","0.130120649933815","0.0193558353930712"
"South Dakota","Butte County","Rural area","0.130112409591675","0.0357621610164642"
"Michigan","Lapeer County","Metro area","0.130109593272209","0.0123611222952604"
"Texas","McLennan County","Metro area","0.130102649331093","0.00733643211424351"
"Nevada","Clark County","Metro area","0.130081921815872","0.00283859763294458"
"Texas","Brewster County","Rural area","0.130044847726822","0.0343963429331779"
"Illinois","Cumberland County","Small town","0.129990488290787","0.0240638554096222"
"Missouri","Grundy County","Rural area","0.129930973052979","0.02786535769701"
"Texas","DeWitt County","Rural area","0.129908517003059","0.0280578322708607"
"Indiana","Vermillion County","Metro area","0.129848480224609","0.0237641334533691"
"Kansas","Cowley County","Small town","0.129721090197563","0.0176913682371378"
"Michigan","Antrim County","Rural area","0.129560008645058","0.0164019670337439"
"Alaska","Yakutat City and Borough","Rural area","0.129554659128189","0.0328644290566444"
"West Virginia","Hampshire County","Metro area","0.129497841000557","0.0234455484896898"
"Kansas","Wilson County","Rural area","0.129448175430298","0.0269870217889547"
"Tennessee","Cheatham County","Metro area","0.129409343004227","0.0172385554760695"
"Oregon","Sherman County","Rural area","0.129353240132332","0.0299923922866583"
"Illinois","DeKalb County","Metro area","0.129338726401329","0.0123377917334437"
"Kentucky","Hickman County","Rural area","0.129310339689255","0.0401852242648602"
"Indiana","Shelby County","Metro area","0.129296898841858","0.0188149195164442"
"West Virginia","Marshall County","Metro area","0.129264995455742","0.016733318567276"
"Illinois","Madison County","Metro area","0.129141986370087","0.00728695839643478"
"Georgia","Walton County","Metro area","0.129126727581024","0.0121300667524338"
"Texas","Taylor County","Metro area","0.129119604825974","0.00892923772335052"
"Kansas","Cherokee County","Rural area","0.129118427634239","0.0205927491188049"
"Oklahoma","Stephens County","Small town","0.129115074872971","0.0118592642247677"
"Idaho","Twin Falls County","Small town","0.129109591245651","0.0137605806812644"
"Idaho","Lincoln County","Small town","0.129072681069374","0.0272613149136305"
"Texas","Bailey County","Rural area","0.129046186804771","0.056286484003067"
"West Virginia","Hardy County","Rural area","0.128971964120865","0.0361323729157448"
"Michigan","Baraga County","Rural area","0.12896691262722","0.0264825504273176"
"West Virginia","Pleasants County","Rural area","0.128885790705681","0.0291935242712498"
"Iowa","Fayette County","Rural area","0.128765150904655","0.0178334005177021"
"Louisiana","St. Charles Parish","Metro area","0.128752827644348","0.0196274016052485"
"Georgia","Chatham County","Metro area","0.128750622272491","0.0066562807187438"
"Ohio","Licking County","Metro area","0.128712877631187","0.00897784437984228"
"Pennsylvania","Northumberland County","Small town","0.128699734807014","0.00910116638988256"
"Vermont","Lamoille County","Rural area","0.128698512911797","0.0176367424428463"
"Idaho","Cassia County","Small town","0.128676950931549","0.0240993034094572"
"Ohio","Van Wert County","Small town","0.128642693161964","0.0181409493088722"
"New York","Livingston County","Metro area","0.12858735024929","0.0140199102461338"
"New York","Cayuga County","Small town","0.128547951579094","0.01123705226928"
"Oklahoma","Tulsa County","Metro area","0.128535315394402","0.00288672163151205"
"Virginia","Harrisonburg city","Metro area","0.128533616662025","0.0167650245130062"
"Illinois","Iroquois County","Rural area","0.128414154052734","0.01242920383811"
"Missouri","Phelps County","Small town","0.128400042653084","0.0160011220723391"
"Pennsylvania","Dauphin County","Metro area","0.128390088677406","0.00622091302648187"
"Kentucky","Simpson County","Rural area","0.128341481089592","0.0295620057731867"
"North Carolina","Forsyth County","Metro area","0.128262639045715","0.00530886929482222"
"Georgia","Camden County","Small town","0.128202378749847","0.0151432584971189"
"Kansas","Greenwood County","Rural area","0.128103628754616","0.0240484438836575"
"Alabama","Autauga County","Metro area","0.127980768680573","0.0199516303837299"
"Iowa","Ringgold County","Rural area","0.127964422106743","0.0263664126396179"
"Oregon","Wheeler County","Rural area","0.127873569726944","0.036344587802887"
"Arizona","Coconino County","Metro area","0.12785542011261","0.00985187664628029"
"Nebraska","Dakota County","Metro area","0.127837032079697","0.0258886236697435"
"New Jersey","Camden County","Metro area","0.127744689583778","0.00511089386418462"
"Wisconsin","Waushara County","Rural area","0.127705410122871","0.011723380535841"
"Illinois","Sangamon County","Metro area","0.127579808235168","0.00686862040311098"
"Iowa","Pocahontas County","Rural area","0.127560526132584","0.0196156576275826"
"Texas","Cooke County","Small town","0.127551019191742","0.0220636650919914"
"Virginia","Alleghany County","Rural area","0.127538353204727","0.0240473672747612"
"Indiana","Allen County","Metro area","0.127534762024879","0.00497849890962243"
"Texas","Limestone County","Rural area","0.127516776323318","0.0175021011382341"
"Alabama","St. Clair County","Metro area","0.127481773495674","0.0135445594787598"
"Arkansas","Pulaski County","Metro area","0.127463966608047","0.00610575405880809"
"Ohio","Ashland County","Small town","0.127458184957504","0.0157348159700632"
"Virginia","Carroll County","Rural area","0.127353265881538","0.0198490750044584"
"Michigan","Midland County","Metro area","0.127292111515999","0.00986357405781746"
"California","Mendocino County","Small town","0.127218589186668","0.0131905535236001"
"West Virginia","Berkeley County","Metro area","0.127133265137672","0.0115789631381631"
"Nebraska","Scotts Bluff County","Small town","0.127131462097168","0.0180577989667654"
"Michigan","Keweenaw County","Small town","0.127077221870422","0.0419896095991135"
"Minnesota","Kanabec County","Rural area","0.12702701985836","0.017929881811142"
"Kentucky","Gallatin County","Metro area","0.126941248774529","0.0287616141140461"
"Maine","York County","Metro area","0.126846522092819","0.00912146177142859"
"Kentucky","Trigg County","Metro area","0.126819476485252","0.0284495856612921"
"Virginia","Richmond County","Rural area","0.126783400774002","0.0428895764052868"
"Texas","Panola County","Rural area","0.126782700419426","0.0225836578756571"
"Texas","Kent County","Rural area","0.126760557293892","0.0703526511788368"
"Oregon","Hood River County","Small town","0.126750275492668","0.0266200490295887"
"South Carolina","Berkeley County","Metro area","0.126713201403618","0.00871470384299755"
"Kansas","Crawford County","Small town","0.126561984419823","0.0121838934719563"
"Texas","Howard County","Small town","0.126547336578369","0.0196317359805107"
"Iowa","Cerro Gordo County","Small town","0.126545459032059","0.0152734247967601"
"Ohio","Paulding County","Rural area","0.126517817378044","0.0185205396264791"
"Oklahoma","Noble County","Rural area","0.126409873366356","0.0251196101307869"
"Pennsylvania","Wayne County","Rural area","0.126375630497932","0.014401170425117"
"Vermont","Orange County","Small town","0.126117333769798","0.0138431591913104"
"Oregon","Washington County","Metro area","0.126062422990799","0.0047566881403327"
"Texas","Shackelford County","Rural area","0.126044034957886","0.0423750877380371"
"Iowa","Monona County","Rural area","0.125984251499176","0.0275205280631781"
"Missouri","Johnson County","Small town","0.125965684652328","0.0161616187542677"
"Michigan","Marquette County","Small town","0.125965088605881","0.00955387763679028"
"Texas","Rusk County","Metro area","0.125709474086761","0.0163831673562527"
"West Virginia","Upshur County","Rural area","0.125645250082016","0.0179630182683468"
"Nebraska","Hall County","Metro area","0.125598087906837","0.011924616061151"
"South Dakota","Pennington County","Metro area","0.125494375824928","0.00988871604204178"
"Oklahoma","Marshall County","Rural area","0.125481650233269","0.016148267313838"
"Texas","Ector County","Metro area","0.1254563331604","0.0117285754531622"
"Texas","Anderson County","Small town","0.125452563166618","0.0190376099199057"
"New York","Richmond County","Metro area","0.125435203313828","0.00407882826402783"
"Wisconsin","Sauk County","Small town","0.125252053141594","0.0112584009766579"
"Ohio","Noble County","Rural area","0.125231340527534","0.0289557315409184"
"North Carolina","Swain County","Rural area","0.125161290168762","0.0222688056528568"
"Indiana","Elkhart County","Metro area","0.125158846378326","0.00969347264617682"
"Wisconsin","Florence County","Small town","0.12512768805027","0.0314817875623703"
"New York","Schoharie County","Metro area","0.125111132860184","0.0139155630022287"
"Iowa","Wright County","Rural area","0.125","0.0235706642270088"
"Georgia","Pickens County","Metro area","0.12498901039362","0.0213389992713928"
"Georgia","Henry County","Metro area","0.124971829354763","0.0119882095605135"
"Iowa","Taylor County","Rural area","0.124861881136894","0.01946378685534"
"South Dakota","Brule County","Rural area","0.124819971621037","0.026221601292491"
"Alabama","Cullman County","Small town","0.124802932143211","0.0111006246879697"
"Utah","Piute County","Rural area","0.124770641326904","0.0496305748820305"
"Kansas","Allen County","Rural area","0.124646425247192","0.025545222684741"
"New Jersey","Salem County","Metro area","0.124592870473862","0.0122855678200722"
"West Virginia","Grant County","Rural area","0.12457912415266","0.0279979426413774"
"South Dakota","Day County","Rural area","0.12451209872961","0.0268039517104626"
"Virginia","Pulaski County","Metro area","0.124510407447815","0.0154517395421863"
"Illinois","Calhoun County","Metro area","0.124483473598957","0.0294070355594158"
"Massachusetts","Worcester County","Metro area","0.124315544962883","0.00415706261992455"
"Arizona","Pinal County","Metro area","0.124310977756977","0.005557790864259"
"Connecticut","New London County","Metro area","0.12428180873394","0.00621559238061309"
"Georgia","Jackson County","Small town","0.124271847307682","0.0133303217589855"
"Iowa","Crawford County","Rural area","0.124261274933815","0.0279477387666702"
"Louisiana","West Carroll Parish","Rural area","0.124253287911415","0.0229051373898983"
"South Carolina","Kershaw County","Metro area","0.123828090727329","0.0149507783353329"
"Michigan","Ontonagon County","Rural area","0.123610645532608","0.020201962441206"
"Wisconsin","Jackson County","Rural area","0.123605258762836","0.0133192166686058"
"California","Sacramento County","Metro area","0.123471796512604","0.00294425548054278"
"Michigan","Huron County","Rural area","0.123370543122292","0.00945249758660793"
"New York","Seneca County","Small town","0.12331772595644","0.0174098461866379"
"Iowa","Jackson County","Rural area","0.123294174671173","0.0182861667126417"
"Texas","Jones County","Metro area","0.123118281364441","0.0238823015242815"
"Tennessee","Putnam County","Small town","0.123089700937271","0.0107042333111167"
"California","Lake County","Small town","0.123043447732925","0.0138657996430993"
"Georgia","Rockdale County","Metro area","0.123012691736221","0.0144662829115987"
"Maine","Sagadahoc County","Metro area","0.122974447906017","0.0158970318734646"
"Oklahoma","Blaine County","Rural area","0.122944191098213","0.0421500615775585"
"Pennsylvania","Fulton County","Rural area","0.122891969978809","0.0158359277993441"
"Kentucky","Franklin County","Small town","0.122890643775463","0.0161517094820738"
"Idaho","Elmore County","Small town","0.122864119708538","0.024066025391221"
"Texas","Erath County","Small town","0.122842855751514","0.0212866682559252"
"Pennsylvania","Indiana County","Small town","0.122786931693554","0.0100195715203881"
"Pennsylvania","Allegheny County","Metro area","0.122596621513367","0.00260278419591486"
"Kentucky","Shelby County","Metro area","0.122557833790779","0.0181137267500162"
"Indiana","Fountain County","Rural area","0.122504666447639","0.0204734820872545"
"Illinois","Logan County","Small town","0.12245824187994","0.0183359868824482"
"California","Alpine County","Rural area","0.122448980808258","0.0592213422060013"
"North Dakota","Sheridan County","Rural area","0.122448980808258","0.044532909989357"
"Missouri","Pulaski County","Small town","0.122368939220905","0.0200329255312681"
"Arkansas","Pope County","Small town","0.122300274670124","0.0164285637438297"
"Colorado","Kiowa County","Rural area","0.122203096747398","0.0469837822020054"
"Missouri","Maries County","Rural area","0.122185610234737","0.0287555959075689"
"North Carolina","Buncombe County","Metro area","0.122143007814884","0.00810364354401827"
"Idaho","Kootenai County","Metro area","0.122140072286129","0.0124471457675099"
"Kentucky","Ballard County","Small town","0.122078724205494","0.0231534224003553"
"Kentucky","Fayette County","Metro area","0.122058860957623","0.0061907023191452"
"Ohio","Sandusky County","Small town","0.122031606733799","0.0116884931921959"
"Texas","Hardeman County","Rural area","0.122012577950954","0.0417977049946785"
"Iowa","Davis County","Small town","0.121981427073479","0.0272449646145105"
"Virginia","Washington County","Metro area","0.121979385614395","0.0107892174273729"
"Oregon","Clackamas County","Metro area","0.121925242245197","0.00554093904793262"
"Ohio","Wayne County","Small town","0.121871881186962","0.00989864952862263"
"Alaska","Aleutians East Borough","Rural area","0.121827408671379","0.017443023622036"
"Minnesota","Benton County","Metro area","0.121709272265434","0.0161902979016304"
"Georgia","Towns County","Rural area","0.121665582060814","0.0300178993493319"
"Wisconsin","Brown County","Metro area","0.121663004159927","0.00652786996215582"
"Missouri","Stone County","Small town","0.121575750410557","0.0176890585571527"
"Alabama","Lee County","Metro area","0.121552303433418","0.00938473548740149"
"South Dakota","Gregory County","Rural area","0.121544077992439","0.0208522528409958"
"Illinois","Shelby County","Rural area","0.121458806097507","0.0230779126286507"
"Indiana","Fulton County","Rural area","0.121451899409294","0.028235362842679"
"Ohio","Champaign County","Small town","0.121421977877617","0.0176719687879086"
"Texas","Bastrop County","Metro area","0.121369376778603","0.0180934220552444"
"Oklahoma","Grady County","Metro area","0.12135624140501","0.0112615032121539"
"South Dakota","Walworth County","Rural area","0.121355056762695","0.0406899824738503"
"Florida","Santa Rosa County","Metro area","0.121268182992935","0.0103094531223178"
"Montana","Golden Valley County","Metro area","0.121212124824524","0.0591459460556507"
"Minnesota","Itasca County","Small town","0.121196277439594","0.0138336690142751"
"Ohio","Portage County","Metro area","0.121117152273655","0.0082859992980957"
"Texas","Fannin County","Small town","0.121111296117306","0.0171883665025234"
"Idaho","Bonner County","Small town","0.121105849742889","0.015528972260654"
"Minnesota","Wadena County","Rural area","0.121088914573193","0.0232535656541586"
"Texas","Runnels County","Rural area","0.121044300496578","0.0275006722658873"
"North Carolina","Carteret County","Small town","0.120962016284466","0.00986453238874674"
"New York","Yates County","Metro area","0.120960973203182","0.0197600089013577"
"Kansas","Finney County","Small town","0.120914772152901","0.0195474941283464"
"Iowa","Buena Vista County","Small town","0.120868869125843","0.0228651594370604"
"Wisconsin","Eau Claire County","Metro area","0.120814882218838","0.0118819838389754"
"Wisconsin","Monroe County","Rural area","0.120810642838478","0.0127297164872289"
"Illinois","Warren County","Rural area","0.120687127113342","0.0236888192594051"
"Colorado","Delta County","Rural area","0.120645217597485","0.0191441439092159"
"Pennsylvania","Forest County","Rural area","0.120594710111618","0.128600031137466"
"Georgia","Catoosa County","Metro area","0.120585918426514","0.016544921323657"
"Washington","Kitsap County","Metro area","0.120569974184036","0.00718216737732291"
"Oregon","Gilliam County","Rural area","0.120558373630047","0.0368307530879974"
"Ohio","Hardin County","Rural area","0.120555751025677","0.0203047376126051"
"Texas","Winkler County","Rural area","0.120472744107246","0.0329037383198738"
"Kansas","Sumner County","Metro area","0.120399869978428","0.0188513789325953"
"Georgia","Chattahoochee County","Metro area","0.120248258113861","0.0395453721284866"
"Rhode Island","Kent County","Metro area","0.120242930948734","0.00867064855992794"
"Pennsylvania","Monroe County","Metro area","0.120188355445862","0.0131229776889086"
"North Carolina","Jackson County","Small town","0.120077267289162","0.0180751793086529"
"West Virginia","Morgan County","Rural area","0.12002220004797","0.0244944281876087"
"Florida","Pinellas County","Metro area","0.120003551244736","0.00350066390819848"
"North Carolina","Durham County","Metro area","0.119943380355835","0.00567964697256684"
"Michigan","Barry County","Metro area","0.119826756417751","0.0127645675092936"
"Georgia","Lee County","Metro area","0.119790636003017","0.0204011499881744"
"Texas","Stonewall County","Rural area","0.119760476052761","0.0574246719479561"
"New Mexico","Union County","Rural area","0.119741097092628","0.0421604551374912"
"Wisconsin","Bayfield County","Rural area","0.119741097092628","0.0113369291648269"
"Vermont","Washington County","Small town","0.119726620614529","0.0117000788450241"
"Texas","Calhoun County","Small town","0.119615383446217","0.0224509164690971"
"New York","Genesee County","Small town","0.119580276310444","0.0108617469668388"
"New York","Rensselaer County","Metro area","0.119475081562996","0.00790577568113804"
"Missouri","Adair County","Small town","0.119425065815449","0.0170136541128159"
"Alaska","Southeast Fairbanks Census Area","Rural area","0.11942446231842","0.0304079167544842"
